series,name_en,geonunit,n_points,mean_gap,median_gap,eligible
Gemini 2.5 Flash,Haringey,England,2,,,False
Gemini 2.5 Flash,Harrow,England,1,,,False
Gemini 2.5 Flash,Herefordshire,England,9,0.0027528066666667075,-0.00074094,True
Gemini 2.5 Flash,Hertfordshire,England,9,1.1100247277777777,1.96416463,True
Gemini 2.5 Flash,Highland,Scotland,5,-0.002257168000000006,-5.900000000003125e-05,True
Gemini 2.5 Flash,Hounslow,England,3,0.6693051899999999,0.0151502999999999,True
Gemini 2.5 Flash,Inverclyde,Scotland,3,0.015062939999999933,0.0150327,True
Gemini 2.5 Flash,Isle of Wight,England,1,,,False
Gemini 2.5 Flash,Islington,England,1,,,False
Gemini 2.5 Flash,Kent,England,10,0.595684765,0.00014199000000001557,True
Gemini 2.5 Flash,Kingston upon Thames,England,1,,,False
Gemini 2.5 Flash,Kirklees,England,5,0.06510710799999996,0.0041552599999999,True
Gemini 2.5 Flash,Knowsley,England,3,0.009451573333333267,0.0122754499999999,True
Gemini 2.5 Flash,Lambeth,England,2,,,False
Gemini 2.5 Flash,Lancashire,England,6,0.994854375,0.9903059599999999,True
Gemini 2.5 Flash,Leeds,England,25,0.63448337124,0.0090282999999999,True
Gemini 2.5 Flash,Leicester,England,2,,,False
Gemini 2.5 Flash,Leicestershire,England,2,,,False
Gemini 2.5 Flash,Lincolnshire,England,13,1.2106985953846154,1.97545706,True
Gemini 2.5 Flash,Liverpool,England,2,,,False
Gemini 2.5 Flash,Luton,England,2,,,False
Gemini 2.5 Flash,Manchester,England,5,0.004006146,0.00328267,True
Gemini 2.5 Flash,Medway,England,1,,,False
Gemini 2.5 Flash,Merseyside,England,1,,,False
Gemini 2.5 Flash,Midlothian,Scotland,1,,,False
Gemini 2.5 Flash,Milton Keynes,England,4,0.99566596,0.994787955,True
Gemini 2.5 Flash,Monmouthshire,Wales,4,0.4973740925,0.00103526999999995,True
Gemini 2.5 Flash,Moray,Scotland,1,,,False
Gemini 2.5 Flash,Neath Port Talbot,Wales,1,,,False
